#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
5.6%	279000	-108024.92273553857	303.110292763007	564
5.6%	280000	-108146.1431788844	296.1882179341016	564
5.6%	281000	-108065.88356900145	306.9069176869658	564
5.6%	282000	-108159.31529971957	292.5827698984959	564
5.7%	283000	-108300.11440774612	300.4755732711618	564
5.7%	284000	-108284.81548382388	294.17651489172624	563
5.7%	285000	-108044.51926968782	301.9267433122182	563
5.7%	286000	-107716.47151472815	304.1397170225795	563
5.7%	287000	-107610.7290654066	299.6874753968711	563
5.8%	288000	-107972.02725546411	296.7619097652665	563
5.8%	289000	-107570.90406787884	296.43427450233514	563
5.8%	290000	-108114.26378962188	303.23055707665793	563
5.8%	291000	-107987.3859013773	297.2707271899246	563
5.8%	292000	-108238.376789578	303.47436462323026	563
5.9%	293000	-107282.51205447665	296.0285599933295	563
5.9%	294000	-107833.5596069307	301.6383468788529	563
5.9%	295000	-107860.38121548388	299.5217000841363	563
5.9%	296000	-107912.30138277612	294.20630691663683	563
5.9%	297000	-107745.8125445263	300.7290455604374	563
6.0%	298000	-108164.22861626698	310.53462252890415	563
6.0%	299000	-107563.50653275987	306.0857833910129	563
6.0%	300000	-107875.89458979247	304.14966342424464	563
6.0%	301000	-107710.84831197117	300.63552621091526	563
6.0%	302000	-107920.76039035572	297.2905094254218	563
6.1%	303000	-108122.21335011534	298.3130408938501	563
6.1%	304000	-107688.5149587118	300.98578342091633	563
6.1%	305000	-108109.43784443522	297.85235244776607	563
6.1%	306000	-107622.86066630273	295.64254366204574	563
6.1%	307000	-107737.04257053067	300.64679585832386	562
6.2%	308000	-107853.33423985867	298.87346105041826	562
6.2%	309000	-107580.28813634999	306.9315634079589	562
6.2%	310000	-107831.74315879657	303.50072140111195	562
6.2%	311000	-108144.47342241462	299.9233058111915	562
6.2%	312000	-107753.91549176187	301.3519356233959	562
6.3%	313000	-108133.148735689	301.4799151652205	562
6.3%	314000	-107870.47778285993	296.4360543689081	562
6.3%	315000	-108234.26351778232	304.31952158820366	562
6.3%	316000	-108487.01581517328	295.4727634155781	562
6.3%	317000	-108278.89335042308	293.88303616694753	562
6.4%	318000	-108328.027672817	298.0610366357546	562
6.4%	319000	-107699.18055510055	292.6061441897693	562
6.4%	320000	-107420.88543477561	300.0367266140537	562
6.4%	321000	-107543.67759326217	304.35563111927854	562
6.4%	322000	-107658.81739278533	304.8329806616688	562
6.5%	323000	-108024.01061502937	296.5947073874817	562
6.5%	324000	-108219.68561045453	297.110470055862	562
6.5%	325000	-107854.05819389806	299.53935715321046	562
6.5%	326000	-108442.03521135356	302.62678747193365	562
6.5%	327000	-108111.11644445965	298.11986089969395	562
6.6%	328000	-108252.3441941638	301.59969581999155	562
6.6%	329000	-107880.58730522869	298.11794266304014	562
6.6%	330000	-108142.61556049646	305.1202105849624	562
6.6%	331000	-107892.1206409838	301.2037350842713	562
6.6%	332000	-108081.704427924	303.0123767371994	562
6.7%	333000	-108310.22094469494	302.2283064597651	562
6.7%	334000	-108189.05616849009	293.6252686495431	562
6.7%	335000	-108252.82483648998	302.4951263490772	562
6.7%	336000	-107948.86357163172	301.13859587113564	562
6.7%	337000	-108380.28379567736	304.67879476119344	562
6.8%	338000	-107604.28999992856	302.03939212482317	562
6.8%	339000	-107800.59384934697	298.38227107239504	562
6.8%	340000	-107843.2766462476	292.360033074918	561
6.8%	341000	-107342.01936997799	299.9096631009146	561
6.8%	342000	-107443.53512408189	297.1151108599971	561
