#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	61000	-108140.22449115757	301.6004574636235	607
0.0%	62000	-107864.49878897658	298.44267559815785	607
0.0%	63000	-108035.4475226968	303.20198134746573	607
0.0%	64000	-107760.37912268122	293.21792238888537	607
0.0%	65000	-108028.30263957242	301.7285036470269	607
0.0%	66000	-108111.26781956945	301.2737800048398	607
0.0%	67000	-107936.975321542	301.68055235632727	607
0.0%	68000	-107862.71795965824	305.42203106043763	606
0.0%	69000	-107269.1454176507	300.68042818617937	606
0.0%	70000	-107698.46578098787	304.9486522242955	606
0.0%	71000	-107837.22516363696	298.15522392690133	606
0.0%	72000	-107724.5160263551	295.1615857437215	606
0.0%	73000	-107942.87573417462	300.98673646041226	606
0.0%	74000	-107789.11076706089	294.6339105572953	606
0.0%	75000	-108295.37033870025	300.7941038614921	606
0.0%	76000	-107609.56843185122	294.6273288272881	606
0.0%	77000	-107920.53234950849	300.2047128330097	606
0.0%	78000	-108153.15843190788	300.2824117329344	606
0.0%	79000	-108049.88692954485	299.5689314290786	606
0.0%	80000	-107705.59689315874	294.30051054096117	606
0.0%	81000	-108024.25323644839	299.6376599939526	606
0.0%	82000	-108036.60697640083	300.40141928679446	606
0.0%	83000	-107341.0947465559	295.9841025968457	606
0.0%	84000	-107776.78212025831	300.4768034157837	606
0.0%	85000	-107844.62116445787	301.1517676891563	606
0.0%	86000	-108354.26311652269	303.913789987475	606
0.0%	87000	-108012.05634992849	293.17848925900506	605
0.0%	88000	-107895.66633450217	294.6049048564357	605
0.0%	89000	-108088.60845335247	303.0430249539689	605
0.0%	90000	-108645.66525653866	299.47907206243684	605
0.0%	91000	-107907.94526440883	297.2714715390505	605
0.0%	92000	-108016.59004806797	302.625679684113	605
0.0%	93000	-107597.19273081911	301.9344420560154	605
0.0%	94000	-108105.08394780965	302.98167645994266	605
0.0%	95000	-108162.02628228464	306.6463316293555	605
0.0%	96000	-107505.87027982203	300.0763057764928	605
0.0%	97000	-108118.32836855017	301.9572076768323	605
0.0%	98000	-107656.97975042672	303.62193931893324	605
0.0%	99000	-107905.99254434137	302.10258054376186	605
0.0%	100000	-107967.89207701082	304.8611770081296	605
0.0%	101000	-107928.3077901681	301.6039260699905	604
0.0%	102000	-108183.21681080386	305.7267820863023	604
0.0%	103000	-107927.32079077535	299.496295924905	604
0.0%	104000	-108260.78220446268	302.0703416120209	604
0.0%	105000	-108255.59889697097	300.9891166348548	604
0.0%	106000	-108121.57419446879	299.8221800546309	604
0.0%	107000	-108139.06105337245	300.879815659372	604
0.0%	108000	-107948.38547506975	304.7693650761636	604
0.0%	109000	-107890.86850378686	302.3957776116767	604
0.0%	110000	-107989.48364256998	299.34787142628994	604
0.0%	111000	-108050.25243840972	308.9166446713332	604
0.0%	112000	-107946.31161053898	300.23335706201595	604
0.0%	113000	-107904.79425449623	302.91584527772426	604
0.0%	114000	-107850.93682937743	303.49961165038667	603
0.0%	115000	-107932.73550219089	299.41362197502644	603
0.0%	116000	-107721.08310287097	301.0893010411145	603
