#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
3.3%	163000	-108851.50885924371	296.85306554389405	653
3.3%	164000	-108016.87601492694	299.3263077695465	652
3.3%	165000	-107582.56985599408	295.9275494651202	652
3.3%	166000	-107229.26135297678	297.9263822721995	652
3.3%	167000	-107589.64280053903	304.03134236467645	652
3.4%	168000	-107114.436883552	303.2955634997241	652
3.4%	169000	-107224.7972053329	304.42081220238566	652
3.4%	170000	-107607.80686499085	301.3735970810329	652
3.4%	171000	-107899.12100858707	303.28717061110325	652
3.4%	172000	-108016.48198358458	306.34617276723685	651
3.5%	173000	-108103.54870769451	302.3458968716264	651
3.5%	174000	-107727.44497857266	297.47024707776256	651
3.5%	175000	-107901.35724218236	296.59281570857274	651
3.5%	176000	-107950.20868876972	293.0662042521289	651
3.5%	177000	-108124.05419670069	296.7521217038735	651
3.6%	178000	-107952.46450714534	301.61801191557396	650
3.6%	179000	-108171.33121594647	294.74715774498475	650
3.6%	180000	-108246.47973311692	289.96143298995224	650
3.6%	181000	-108326.74450625014	304.0529465841898	650
3.6%	182000	-108242.70162586542	299.09960673899855	650
3.7%	183000	-108392.93701948319	302.15004248278166	650
3.7%	184000	-107902.0712448319	297.10028131001667	650
3.7%	185000	-107968.16722198646	296.5826924324856	649
3.7%	186000	-108218.6119313913	307.82088393619915	649
3.7%	187000	-107766.00438180822	297.7538594127705	649
3.8%	188000	-107542.54314286681	292.61633689640354	649
3.8%	189000	-108211.06459919945	303.60529024840895	649
3.8%	190000	-107874.6597004782	298.2855045763404	649
3.8%	191000	-107705.55531596206	295.9744083837712	648
3.8%	192000	-108086.3832100525	301.46761016170245	648
3.9%	193000	-107860.8398034072	305.24162941449583	648
3.9%	194000	-107540.00867043319	295.49113162844435	648
3.9%	195000	-107986.93034644332	298.9414184466817	648
3.9%	196000	-107677.88055787026	294.4077071034617	648
3.9%	197000	-107875.47061342979	294.39246804104073	647
4.0%	198000	-107575.1660915357	298.7695179530203	647
4.0%	199000	-107905.11021555238	301.4712387451384	647
4.0%	200000	-108001.27676100633	296.5726436491127	647
4.0%	201000	-107666.71593834809	304.92660530616524	647
